date,weight,fat,water,muscle
2021-08-23,68.3,27.5,52.7,34.7
2021-08-28,67.8,27.9,52.6,34.8
2021-09-06,69.0,28.9,51.8,34.6
2021-09-08,67.9,27.8,52.6,34.8
2021-09-10,68.7,27.6,52.7,34.7
2021-09-18,67.5,27.0,53.2,34.9
2021-09-21,68.7,28.3,52.2,34.7
2021-09-24,68.3,27.3,52.9,34.8
2021-09-29,68.1,27.3,52.9,34.8
2021-10-01,68.7,27.9,52.5,34.7
2021-10-12,67.7,27.7,52.7,34.8
2021-11-04,67.5,27.8,52.5,34.9
2021-11-12,66.8,27.9,52.6,35.0
2022-01-15,65.9,26.9,53.3,35.1
2022-01-20,65.7,27.6,52.8,35.2
2022-01-28,65.8,26.4,53.6,35.1
2022-02-02,66.1,26.4,53.6,35.1
2022-02-10,66.0,26.5,53.6,35.1
2022-04-18,66.1,26.4,53.6,35.1
2022-05-11,66.0,26.4,53.6,35.1
2022-07-06,65.8,26.9,53.3,35.1
2022-08-08,65.7,27.1,53.1,35.2
2022-08-18,65.2,26.1,53.8,35.2
2022-09-04,66.0,26.8,53.4,35.1
2022-09-08,65.4,26.3,53.7,35.1
2022-09-20,65.6,26.6,53.4,35.2
2022-09-30,66.1,27.6,52.8,35.1
2022-10-04,66.1,27.9,52.5,35.1
2022-10-25,65.0,26.9,53.2,35.3
2022-11-08,65.6,26.8,53.3,35.2
2022-12-05,64.8,27.8,52.6,35.3
2022-12-27,64.5,25.6,54.2,35.4
2023-01-10,64.8,26.6,53.5,35.3
2023-01-17,65.5,26.6,53.5,35.2
2023-01-24,65.1,26.9,53.2,35.3
2023-02-09,65.1,26.2,53.8,35.3
2023-02-15,64.3,25.9,54.0,35.4
2023-03-03,65.1,26.0,53.9,35.3
2023-05-08,66.3,26.8,53.3,35.1
2023-08-01,66.9,27.9,52.5,34.9
2023-08-05,66.2,26.7,53.4,35.1
2023-08-07,66.4,26.8,53.3,35.0
2023-08-09,66.1,26.7,53.4,35.1
2023-08-15,66.6,27.1,53.1,35.0
2023-08-17,66.5,27.2,53.1,35.0
2023-08-18,65.7,26.7,53.4,35.2
2023-08-20,66.1,26.6,53.3,35.1
2023-08-25,65.7,26.9,53.3,35.2
2023-08-27,66.0,26.7,53.4,35.1
2023-08-30,65.7,27.4,52.9,35.2
2023-09-01,65.5,27.1,53.1,35.2
2023-09-08,65.2,26.4,53.6,35.2
2023-10-06,65.0,27.1,53.1,35.1
2023-11-13,66.0,27.1,53.1,35.1
2024-01-09,64.7,26.1,53.8,35.3
2024-01-10,64.7,26.3,53.7,35.3
2024-01-17,65.0,26.2,53.7,35.3
2024-02-29,66.1,26.3,53.7,35.1
2024-05-23,68.5,27.9,52.5,34.7
2024-05-24,67.5,28.2,52.3,34.9
2024-06-06,66.6,27.7,52.7,35.0
2024-07-01,68.2,28.0,52.4,34.8
2024-07-04,67.8,28.3,52.2,34.8
2024-07-09,68.1,28.0,52.4,34.8
2024-07-12,67.3,27.5,52.8,34.9
2024-07-16,67.8,27.9,52.5,34.8
2024-07-23,68.0,27.9,52.6,34.8
2024-07-29,67.8,29.5,51.4,34.8
2024-08-07,67.3,27.4,52.9,34.9
2024-08-09,67.6,28.1,52.4,34.9
2024-08-29,67.4,28.0,52.4,34.9
2024-09-02,67.9,28.2,52.3,34.8
2024-09-04,66.9,27.3,52.9,35.0
2024-09-09,68.0,28.0,52.4,34.8
2024-09-11,68.1,27.8,52.6,34.8
2024-09-14,67.7,29.4,51.5,34.8
2024-09-18,67.3,28.0,52.4,34.9
2024-09-26,66.6,28.4,52.2,35.0
2024-09-30,67.2,28.8,51.8,34.9
2024-10-08,67.0,27.7,52.7,34.9
2024-10-11,67.3,28.7,51.9,34.9
2024-10-15,67.3,29.0,51.8,34.9
2024-10-17,66.8,27.3,53.0,35.0
2024-10-21,67.6,27.9,52.5,34.9
2024-10-25,67.2,28.7,52.0,34.9
2024-10-29,67.1,28.0,52.5,34.9
2024-11-04,67.3,28.4,52.1,34.9
2024-11-08,67.4,29.4,51.5,34.9
2024-11-14,67.4,29.4,51.5,34.9
2024-11-19,66.9,29.1,51.6,35.0
2024-11-26,67.1,29.1,51.7,34.9
2024-12-04,66.2,28.2,52.3,35.1
