date,weight,fat,water,muscle
2017-08-07,113.8,37.7,45.4,36.5
2017-08-14,113.3,37.5,45.5,36.6
2017-08-17,112.8,37.4,45.6,36.6
2017-08-23,112.1,37.3,45.7,36.7
2017-08-30,111.6,37.3,45.7,36.8
2017-09-04,109.8,36.9,46.0,37.0
2017-09-06,108.7,36.6,46.3,37.1
2017-09-08,108.6,36.7,46.1,37.1
2017-09-18,108.1,36.7,46.1,37.2
2017-09-21,107.6,36.5,45.5,37.2
2017-09-25,105.5,35.9,46.7,37.5
2017-09-28,104.9,35.8,46.8,37.6
2017-10-02,104.8,35.8,46.8,37.6
2017-10-05,104.4,36.0,46.7,37.0
2017-10-06,103.2,35.4,47.1,37.8
2017-10-09,103.0,35.4,47.1,37.8
2017-10-12,101.9,35.1,47.3,37.9
2017-10-16,101.5,35.0,47.4,38.0
2017-10-19,100.8,34.9,47.4,38.1
2017-10-23,99.0,34.5,47.8,38.3
2017-10-26,98.1,34.3,47.9,38.5
2017-10-30,97.8,34.2,48.0,38.5
2017-11-02,98.2,34.4,47.8,38.5
2017-11-06,98.3,34.4,47.9,38.4
2017-11-09,97.3,34.0,48.1,38.6
2017-11-13,96.4,33.7,48.3,38.7
2017-11-16,97.2,34.1,48.0,38.6
2017-11-23,95.8,33.7,48.3,38.8
2017-11-27,96.4,33.8,48.3,38.7
2017-11-30,95.1,33.5,48.5,38.9
2017-12-04,95.7,33.4,48.5,38.8
2017-12-07,95.1,33.3,48.6,38.9
2017-12-11,95.2,33.3,48.6,38.9
2017-12-14,94.3,33.0,48.9,39.1
2017-12-18,94.4,33.1,48.8,39.0
2017-12-21,93.1,32.6,49.1,39.2
2017-12-28,93.3,32.9,48.9,39.2
2018-01-04,94.3,33.0,48.8,39.0
2018-01-08,93.4,32.8,49.0,39.1
2018-01-11,93.1,32.8,49.0,39.2
2018-01-15,92.4,32.8,49.0,39.3
2018-01-18,91.5,32.2,49.4,39.5
2018-01-22,91.5,32.6,49.1,39.5
2018-01-25,91.2,32.2,49.4,39.5
2018-01-29,91.6,32.3,49.3,39.5
2018-02-01,90.9,31.9,49.6,39.6
2018-02-05,89.8,31.9,48.8,39.8
2018-02-08,89.5,31.6,49.9,39.8
2018-02-12,89.8,32.1,49.5,39.8
2018-02-15,88.8,31.4,50.0,39.9
2018-02-19,88.9,31.4,50.0,39.9
2018-02-22,88.4,31.4,50.0,40.0
2018-02-26,89.1,31.5,49.9,39.8
2018-03-01,87.6,30.9,50.4,40.2
2018-03-05,87.6,30.8,50.4,40.2
2018-03-08,87.8,31.2,50.2,40.1
2018-03-12,88.5,31.4,50.0,40.0
2018-03-15,89.8,31.7,49.8,39.8
2018-03-19,88.1,31.1,50.2,40.1
2018-03-22,87.4,30.8,50.4,40.2
2018-03-26,87.5,31.1,50.2,40.2
2018-03-29,87.0,30.7,50.5,40.3
2018-04-02,87.2,30.7,50.5,40.2
2018-04-05,87.5,30.9,50.4,40.1
2018-04-16,88.1,31.1,50.2,40.1
2018-04-19,87.6,31.4,50.0,40.2
2018-04-23,87.5,31.2,50.1,40.2
2018-04-26,88.0,31.6,49.8,40.0
2018-04-30,87.0,31.0,50.3,40.3
2018-05-03,88.1,31.7,49.8,40.1
2018-05-07,87.4,31.1,50.2,40.2
2018-05-10,86.1,30.4,50.7,40.4
2018-05-14,86.7,30.6,50.6,40.3
2018-05-17,86.2,30.5,50.7,40.4
2018-05-21,86.7,30.9,50.4,40.3
2018-05-28,86.4,30.4,50.7,40.4
2018-05-31,87.7,30.9,50.4,40.1
2018-06-04,87.8,31.0,49.9,40.1
2018-06-07,86.0,31.0,50.3,40.4
2018-06-11,87.1,30.7,50.5,40.2
2018-06-14,85.1,30.1,50.9,40.6
2018-06-18,86.4,30.6,50.6,40.4
2018-06-21,85.0,30.1,51.0,40.6
2018-06-25,84.8,29.9,51.1,40.7
2018-06-28,84.0,30.0,51.0,40.8
2018-07-02,84.0,30.4,50.8,40.8
2018-07-05,84.2,29.9,51.1,40.7
2018-07-09,84.0,29.6,51.3,40.8
2018-07-12,85.1,30.1,50.9,40.6
2018-07-16,84.2,29.9,51.1,40.8
2018-07-19,84.4,29.8,51.2,40.8
2018-07-23,83.3,29.2,51.6,41.0
2018-07-26,82.7,29.0,51.7,41.1
2018-07-30,83.4,29.5,51.4,40.9
2018-08-02,82.6,29.0,51.8,41.1
2018-08-06,82.8,29.3,51.5,41.0
2018-08-09,81.6,28.8,51.9,41.3
2018-08-13,82.4,29.3,51.5,41.1
2018-08-16,80.5,28.1,52.4,41.5
2018-08-27,81.7,29.0,51.7,41.3
2018-08-30,80.2,28.1,52.4,41.6
2018-09-10,80.3,28.2,52.3,41.6
2018-09-13,78.6,27.5,52.9,42.0
2018-09-17,78.7,27.9,52.6,41.9
2018-09-20,78.8,27.7,52.7,41.9
2018-09-24,79.4,28.0,52.4,41.7
2018-10-01,80.0,27.9,52.5,41.6
2018-10-08,80.1,28.7,52.0,41.6
2018-10-11,78.5,27.4,52.9,42.0
2018-10-22,79.6,28.5,52.1,41.9
2018-10-25,78.9,27.6,52.8,41.9
2018-10-29,78.9,27.8,52.6,41.9
2018-11-02,79.3,28.1,52.4,41.8
2018-11-05,79.2,27.6,52.8,41.8
2018-11-09,78.0,27.1,53.1,42.1
2018-11-12,78.3,27.3,53.0,42.0
2018-11-19,79.7,28.6,52.0,41.7
2018-11-26,79.7,28.6,52.5,41.7
2018-11-29,78.8,27.6,52.8,41.9
2018-12-03,79.3,28.0,52.5,41.8
2018-12-06,78.9,27.6,52.8,41.9
2018-12-10,79.3,27.8,52.7,41.8
2018-12-13,78.5,27.3,53.0,42.0
2018-12-17,80.5,29.6,51.7,41.5
2018-12-20,79.2,27.8,52.6,41.8
2018-12-27,80.3,28.4,52.2,41.6
2018-12-31,79.3,27.8,52.6,41.8
2019-01-07,79.9,27.9,52.6,41.7
2019-01-10,81.0,29.5,51.4,41.4
2019-01-14,80.4,28.4,52.2,41.6
